ident,type,name,iso_region,iata_code
0IS3,small_airport,Cady Aerial RLA Restricted Landing Area,US-IL,
0IS4,small_airport,Dawson Farms Airport,US-IL,
0J0,small_airport,Abbeville Municipal Airport,US-AL,
0J8,small_airport,Flying Ten Airport,US-FL,
0K6,small_airport,Dobie's Airport,US-OK,
0KS0,small_airport,J V Ranch Airport,US-KS,
0KS3,small_airport,Camp Chippewa Airport,US-KS,
0KS4,small_airport,Norris Airport,US-KS,
0KS6,small_airport,Kendrigan Airport,US-KS,
0KS7,small_airport,Mono Aircraft Airport,US-KS,
0KS8,small_airport,Pearce Field,US-KS,
0KS9,small_airport,Lmn 120 Airport,US-KS,
0KY0,small_airport,Owen Air Park,US-KY,
0KY1,small_airport,Arnemann Farms Airport,US-KY,
0KY4,small_airport,Cambron Field,US-KY,
0KY5,small_airport,Falin Landing Strip,US-KY,
0KY7,small_airport,Clinton-Hickman County Airport,US-KY,
0L4,small_airport,Lida Junction Airport,US-NV,
0L5,small_airport,Goldfield Airport,US-NV,
0LA1,small_airport,Double H Ranch Airport,US-LA,
0LA3,small_airport,Belcher Airpatch Airport,US-LA,
0LA9,small_airport,Rebel Field,US-LA,
0LL0,small_airport,Kaufield Airport,US-IL,
0LL1,small_airport,Jerseyville Aviation Inc Airport,US-IL,
0LL2,small_airport,Murk's Strip,US-IL,
0LL3,small_airport,Koenig Airport,US-IL,
0LL4,small_airport,Flaherty Field,US-IL,
0LL5,small_airport,Busboom RLA Restricted Landing Area,US-IL,
0LL6,small_airport,Gord Airport,US-IL,
0LS0,small_airport,Theriot Field,US-LA,
0LS5,small_airport,Trahan Ultralightport,US-LA,
0LS6,small_airport,Dufour Airport,US-LA,
0LS7,small_airport,Morgan Field,US-LA,
0LS8,small_airport,Lonesome Dove Airfield,US-LA,
0LS9,small_airport,Huenefeld Airport,US-LA,
0MD1,small_airport,Taylor Field,US-MD,
0MD2,small_airport,Squier Landing Airport,US-MD,
0MD4,small_airport,Pond View Private Airport,US-MD,
0MD6,small_airport,Walters Airport,US-MD,
0ME4,small_airport,Peasley Field,US-ME,
0MI1,small_airport,Sugar Springs Airpark,US-MI,
0MI3,small_airport,Kelleys Airport,US-MI,
0MI4,small_airport,Lesterson-Dempsey Airstrip,US-MI,
0MI6,small_airport,Young's Airport,US-MI,
0MN1,small_airport,Brinkman Airport,US-MN,
0MN5,small_airport,Pankratz Airport,US-MN,
0MN6,small_airport,Matson Field,US-MN,
0MO0,small_airport,Ferros Ranch-Aero Airport,US-MO,
0MO1,small_airport,Flying G Airport,US-MO,
0MO2,small_airport,Short-N-Ruff Airport,US-MO,
0MO5,small_airport,Joe D Lewis Airport,US-MO,
0MO6,small_airport,Hall Airport,US-MO,
0MO8,small_airport,Sloan's Airport,US-MO,
0MS0,small_airport,Topton Air Estates Airport,US-MS,
0MS1,small_airport,Franklin Field,US-MS,
0MS2,small_airport,Morgan Field,US-MS,
0MS5,small_airport,Lewis Air Service Airport,US-MS,
0MS7,small_airport,Hale Field,US-MS,
0MS8,small_airport,Catfish Point Airport,US-MS,
0MS9,small_airport,Shenandoah Valley Farms Airport,US-MS,
0MT1,small_airport,Williams Field,US-MT,
0MT4,small_airport,Kimp Airport,US-MT,
0MT5,small_airport,Cottonwood Airport,US-MT,
0MT6,small_airport,Hanson Airport,US-MT,
0MT7,small_airport,Pinehurst Ranch Airport,US-MT,
0MT9,small_airport,Lone Hawk Airport,US-MT,
0MU0,small_airport,Eagle Field,US-MO,
0MU1,small_airport,Sunderland Airport,US-MO,
0MU4,small_airport,Slaughter Airport,US-MO,
0MU7,small_airport,Lambs Field,US-MO,
0MU8,small_airport,Prince STOLport,US-MO,
0MU9,small_airport,RPM Airport,US-MO,
0N0,small_airport,Roosterville Airport,US-MO,
0N4,small_airport,Chandelle Airport,US-DE,
0N6,small_airport,Albanna Aviation Airport,US-DE,
0NA1,small_airport,Goerger Airport,US-ND,
0NA5,small_airport,Sorlie Airport,US-ND,
0NA9,small_airport,Boyd's Turf Airport,US-ND,
0NC1,small_airport,Bearwallow Farm Airport,US-NC,
0NC7,small_airport,Lindsay Airport,US-NC,
0NC8,small_airport,Flying S Ranch Airport,US-NC,
0ND0,small_airport,Gilbertson Field,US-ND,
0ND6,small_airport,Schumacher Strip,US-ND,
0ND7,small_airport,Saville Private Airport,US-ND,
0NE0,small_airport,Merrihew Airport,US-NE,
0NE1,small_airport,Runner Landing Area Airport,US-NE,
0NE2,small_airport,Merry Airport,US-NE,
0NE5,small_airport,Newman Airport,US-NE,
0NE6,small_airport,Frager Field,US-NE,
0NJ5,small_airport,Fla-Net Airport,US-NJ,
